"","ist","country_code","district_name","year","district_population","live_births","surviving_infants","under5pop","under15pop","cba_women","pregnant_women"
"1","CA","ANG","ALTO ZAMBEZE",2017,11123.67489333,414,387,1944,5219,2533,414
"2","CA","ANG","ALTO ZAMBEZE",2018,11123.67489333,414,387,1944,5219,2533,414
"3","CA","ANG","ALTO ZAMBEZE",2019,128725,4801,4493,15765,63149,28379,4801
"4","CA","ANG","ALTO ZAMBEZE",2020,132701,4923,4642,21093,64322,29596,4923
"5","CA","ANG","ALTO ZAMBEZE",2021,136790,5047,13399,21852,65414,30896,5047
"6","CA","ANG","ALTO ZAMBEZE",2022,140998,5189,4889,22586,66423,32283,5189
"7","CA","ANG","ALTO ZAMBEZE",2023,145329,5334,5023,23289,67349,33759,5334
"8","CA","ANG","ALTO ZAMBEZE",2024,149792,5482,5165,23960,68191,66900,5482
"9","CA","ANG","AMBACA",2017,67179.77914927,2499,2338,11743,31521,15297,2499
"10","CA","ANG","AMBACA",2018,67179.77914927,2499,2338,11743,31521,15297,2499
"11","CA","ANG","AMBACA",2019,71030,2777,2582,9080,33861,15181,2777
"12","CA","ANG","AMBACA",2020,73061,2827,2649,12050,34563,15712,2827
"13","CA","ANG","AMBACA",2021,75136,2885,1388,12400,35225,16281,2885
"14","CA","ANG","AMBACA",2022,77259,2944,2755,12733,35846,16893,2944
"15","CA","ANG","AMBACA",2023,79435,3003,2814,13049,36429,17550,3003
"16","CA","ANG","AMBACA",2024,81666,3071,2878,13346,36972,36252,3071
"17","CA","ANG","AMBOIM",2017,264160.77218452,9827,9193,46175,123944,60149,9827
"18","CA","ANG","AMBOIM",2018,264160.77218452,9827,9193,46175,123944,60149,9827
"19","CA","ANG","AMBOIM",2019,279857,10523,9814,34592,134562,61734,10523
"20","CA","ANG","AMBOIM",2020,288156,10777,10117,46054,137122,64095,10777
"21","CA","ANG","AMBOIM",2021,296688,11037,3015,47583,139525,66627,11037
"22","CA","ANG","AMBOIM",2022,305471,11333,10647,49085,141785,69337,11333
"23","CA","ANG","AMBOIM",2023,314520,11637,10941,50556,143912,72234,11637
"24","CA","ANG","AMBOIM",2024,323853,11983,11255,51996,145919,143105,11983
"25","CA","ANG","AMBRIZ",2017,26339.22933896,980,917,4604,12358,5997,980
"26","CA","ANG","AMBRIZ",2018,26339.22933896,980,917,4604,12358,5997,980
"27","CA","ANG","AMBRIZ",2019,28390,1062,988,3409,12767,6258,1062
"28","CA","ANG","AMBRIZ",2020,29468,1093,1026,4603,13147,6552,1093
"29","CA","ANG","AMBRIZ",2021,30574,1125,1937,4796,13518,6863,1125
"30","CA","ANG","AMBRIZ",2022,31707,1161,1090,4983,13877,7190,1161
"31","CA","ANG","AMBRIZ",2023,32871,1196,1124,5161,14226,7535,1196
"32","CA","ANG","AMBRIZ",2024,34064,1233,1159,5331,14562,13693,1233
"33","CA","ANG","AMBUILA",2017,19733.48921994,734,687,3449,9259,4493,734
"34","CA","ANG","AMBUILA",2018,19733.48921994,734,687,3449,9259,4493,734
"35","CA","ANG","AMBUILA",2019,20900,780,733,2616,10330,4371,780
"36","CA","ANG","AMBUILA",2020,21518,798,755,3470,10528,4542,798
"37","CA","ANG","AMBUILA",2021,22154,820,2604,3584,10714,4729,820
"38","CA","ANG","AMBUILA",2022,22812,842,797,3698,10886,4930,842
"39","CA","ANG","AMBUILA",2023,23489,867,820,3810,11045,5148,867
"40","CA","ANG","AMBUILA",2024,24191,893,845,3923,11191,10980,893
"41","CA","ANG","ANDULO",2017,284311.52696263,10576,9894,49698,133399,64738,10576
"42","CA","ANG","ANDULO",2018,284311.52696263,10576,9894,49698,133399,64738,10576
"43","CA","ANG","ANDULO",2019,303195,11825,11108,39179,152195,68211,11825
"44","CA","ANG","ANDULO",2020,313191,12152,11484,52343,155493,71097,12152
"45","CA","ANG","ANDULO",2021,323471,12486,2844,54254,158632,74174,12486
"46","CA","ANG","ANDULO",2022,334052,12828,12136,56117,161610,77453,12828
"47","CA","ANG","ANDULO",2023,344949,13212,12490,57926,164426,80948,13212
"48","CA","ANG","ANDULO",2024,356182,13606,12864,59678,167078,163863,13606
"49","CA","ANG","BAIA FARTA",2017,116671.70051703,4340,4060,20394,54742,26566,4340
"50","CA","ANG","BAIA FARTA",2018,116671.70051703,4340,4060,20394,54742,26566,4340
"51","CA","ANG","BAIA FARTA",2019,122926,4302,4030,14397,56722,28810,4302
"52","CA","ANG","BAIA FARTA",2020,126192,4366,4121,19002,57493,29808,4366
"53","CA","ANG","BAIA FARTA",2021,129506,4429,22210,19498,58175,30872,4429
"54","CA","ANG","BAIA FARTA",2022,132873,4491,4245,19952,58769,32004,4491
"55","CA","ANG","BAIA FARTA",2023,136297,4566,4314,20362,59279,33206,4566
"56","CA","ANG","BAIA FARTA",2024,139782,4641,4388,20725,59707,58610,4641
"57","CA","ANG","BAILUNDO",2017,325770.70583602,12119,11337,56945,152852,74178,12119
"58","CA","ANG","BAILUNDO",2018,325770.70583602,12119,11337,56945,152852,74178,12119
"59","CA","ANG","BAILUNDO",2019,348380,14423,13445,46838,176192,76367,14423
"60","CA","ANG","BAILUNDO",2020,360413,14849,13938,62857,180455,79720,14849
"61","CA","ANG","BAILUNDO",2021,372836,15324,10539,65311,184589,83304,15324
"62","CA","ANG","BAILUNDO",2022,385674,15813,14823,67740,188619,87122,15813
"63","CA","ANG","BAILUNDO",2023,398950,16317,15306,70137,192572,91179,16317
"64","CA","ANG","BAILUNDO",2024,412689,16838,15815,72496,196472,192518,16838
"65","CA","ANG","BALOMBO",2017,117887.31172595,4385,4102,20607,55313,26843,4385
"66","CA","ANG","BALOMBO",2018,117887.31172595,4385,4102,20607,55313,26843,4385
"67","CA","ANG","BALOMBO",2019,124202,4347,4072,14547,57311,29109,4347
"68","CA","ANG","BALOMBO",2020,127501,4412,4164,19199,58090,30118,4412
"69","CA","ANG","BALOMBO",2021,130848,4475,2639,19700,58778,31192,4475
"70","CA","ANG","BALOMBO",2022,134248,4538,4289,20159,59377,32335,4538
"71","CA","ANG","BALOMBO",2023,137706,4613,4359,20572,59892,33549,4613
